================================================================================
🎯 A2C BASELINE - Configuration du Run Réussi
================================================================================
Hidden size: 256
LR policy: 0.0005
LR value: 0.001
Entropy final: 0.005
Eval episodes: 30

================================================================================


============================================================
Test de la politique sur 100 épisodes
============================================================

Politique chargée : checkpoints/a2c_r_2048_u_10000_h_256.pt

Épisode  1/100 | Retour :  242.06 | Pas : 259
Épisode  2/100 | Retour :  264.43 | Pas : 228
Épisode  3/100 | Retour :  197.49 | Pas : 380
Épisode  4/100 | Retour :  267.14 | Pas : 210
Épisode  5/100 | Retour :   43.26 | Pas : 169
Épisode  6/100 | Retour :  231.09 | Pas : 282
Épisode  7/100 | Retour :  249.68 | Pas : 222
Épisode  8/100 | Retour :  282.96 | Pas : 194
Épisode  9/100 | Retour :  219.72 | Pas : 260
Épisode 10/100 | Retour :  261.33 | Pas : 184
Épisode 11/100 | Retour :  234.18 | Pas : 229
Épisode 12/100 | Retour :  198.12 | Pas : 335
Épisode 13/100 | Retour :  115.17 | Pas : 1000
Épisode 14/100 | Retour :  280.31 | Pas : 203
Épisode 15/100 | Retour :  250.69 | Pas : 220
Épisode 16/100 | Retour :  129.81 | Pas : 1000
Épisode 17/100 | Retour :  233.20 | Pas : 223
Épisode 18/100 | Retour :  211.01 | Pas : 540
Épisode 19/100 | Retour :  253.85 | Pas : 209
Épisode 20/100 | Retour :  208.20 | Pas : 279
Épisode 21/100 | Retour :  274.60 | Pas : 234
Épisode 22/100 | Retour :  268.29 | Pas : 197
Épisode 23/100 | Retour :  149.60 | Pas : 642
Épisode 24/100 | Retour :   11.80 | Pas : 141
Épisode 25/100 | Retour :  256.77 | Pas : 220
Épisode 26/100 | Retour :  263.02 | Pas : 456
Épisode 27/100 | Retour :  244.27 | Pas : 237
Épisode 28/100 | Retour :  267.52 | Pas : 221
Épisode 29/100 | Retour :   13.84 | Pas : 190
Épisode 30/100 | Retour :  201.98 | Pas : 375
Épisode 31/100 | Retour :  227.74 | Pas : 336
Épisode 32/100 | Retour :  264.32 | Pas : 215
Épisode 33/100 | Retour :  249.77 | Pas : 205
Épisode 34/100 | Retour :  250.54 | Pas : 189
Épisode 35/100 | Retour :  -29.80 | Pas : 144
Épisode 36/100 | Retour :  265.15 | Pas : 218
Épisode 37/100 | Retour :  232.12 | Pas : 243
Épisode 38/100 | Retour :  234.34 | Pas : 348
Épisode 39/100 | Retour :  198.28 | Pas : 343
Épisode 40/100 | Retour :  246.01 | Pas : 232
Épisode 41/100 | Retour :  228.86 | Pas : 241
Épisode 42/100 | Retour :  233.69 | Pas : 232
Épisode 43/100 | Retour :  266.62 | Pas : 202
Épisode 44/100 | Retour :  -24.28 | Pas : 217
Épisode 45/100 | Retour :  144.15 | Pas : 1000
Épisode 46/100 | Retour :  244.91 | Pas : 289
Épisode 47/100 | Retour :  212.35 | Pas : 408
Épisode 48/100 | Retour :  116.18 | Pas : 1000
Épisode 49/100 | Retour :  132.39 | Pas : 1000
Épisode 50/100 | Retour :  272.84 | Pas : 231
Épisode 51/100 | Retour :  147.15 | Pas : 1000
Épisode 52/100 | Retour :  273.13 | Pas : 243
Épisode 53/100 | Retour :  272.92 | Pas : 209
Épisode 54/100 | Retour :  242.91 | Pas : 324
Épisode 55/100 | Retour :  254.73 | Pas : 239
Épisode 56/100 | Retour :  171.67 | Pas : 515
Épisode 57/100 | Retour :  259.42 | Pas : 242
Épisode 58/100 | Retour :  261.53 | Pas : 227
Épisode 59/100 | Retour :  272.45 | Pas : 197
Épisode 60/100 | Retour :  241.00 | Pas : 232
Épisode 61/100 | Retour :  263.97 | Pas : 197
Épisode 62/100 | Retour :  -19.63 | Pas : 228
Épisode 63/100 | Retour :   41.93 | Pas : 144
Épisode 64/100 | Retour :  249.60 | Pas : 214
Épisode 65/100 | Retour :  246.04 | Pas : 223
Épisode 66/100 | Retour :  260.56 | Pas : 225
Épisode 67/100 | Retour :  256.11 | Pas : 310
Épisode 68/100 | Retour :  269.24 | Pas : 202
Épisode 69/100 | Retour :  -42.35 | Pas : 207
Épisode 70/100 | Retour :  258.21 | Pas : 244
Épisode 71/100 | Retour :  234.12 | Pas : 264
Épisode 72/100 | Retour :  137.63 | Pas : 1000
Épisode 73/100 | Retour :  -29.13 | Pas : 227
Épisode 74/100 | Retour :  141.41 | Pas : 601
Épisode 75/100 | Retour :  245.75 | Pas : 260
Épisode 76/100 | Retour :   32.92 | Pas : 126
Épisode 77/100 | Retour :  193.89 | Pas : 450
Épisode 78/100 | Retour :  231.38 | Pas : 291
Épisode 79/100 | Retour :   12.64 | Pas : 154
Épisode 80/100 | Retour :    2.11 | Pas : 119
Épisode 81/100 | Retour :  255.65 | Pas : 225
Épisode 82/100 | Retour :  224.22 | Pas : 799
Épisode 83/100 | Retour :  260.24 | Pas : 228
Épisode 84/100 | Retour :  132.28 | Pas : 1000
Épisode 85/100 | Retour :  235.26 | Pas : 233
Épisode 86/100 | Retour :  261.66 | Pas : 209
Épisode 87/100 | Retour :  270.23 | Pas : 235
Épisode 88/100 | Retour :  262.12 | Pas : 212
Épisode 89/100 | Retour :  225.34 | Pas : 411
Épisode 90/100 | Retour :  195.69 | Pas : 320
Épisode 91/100 | Retour :  224.60 | Pas : 451
Épisode 92/100 | Retour :  227.37 | Pas : 226
Épisode 93/100 | Retour :  256.45 | Pas : 202
Épisode 94/100 | Retour :  254.84 | Pas : 335
Épisode 95/100 | Retour :  254.62 | Pas : 264
Épisode 96/100 | Retour :  251.07 | Pas : 232
Épisode 97/100 | Retour :  240.82 | Pas : 204
Épisode 98/100 | Retour : -129.86 | Pas : 792
Épisode 99/100 | Retour :  228.58 | Pas : 239
Épisode 100/100 | Retour :  277.66 | Pas : 216

============================================================
Résultats :
  Moyenne :  200.84 +/- 91.37
  Min :     -129.86
  Max :      282.96
  Succès :  71/100 (>= 200)
============================================================


================================================================================
✅ Entraînement terminé!
================================================================================
